"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"119","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,9,0.0025,100,"R_squared",-19.1160869248531
"120","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,10,0.0025,100,"R_squared",-19.119071377148
"121","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,1,0.0025,100,"R_squared",-19.7295848996051
"122","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,2,0.0025,100,"R_squared",-19.7363685416111
"123","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,3,0.0025,100,"R_squared",-19.719753447929
"124","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,4,0.0025,100,"R_squared",-19.7415329454385
"125","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,5,0.0025,100,"R_squared",-19.7358392996088
"126","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,6,0.0025,100,"R_squared",-19.7300807797432
"127","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,7,0.0025,100,"R_squared",-19.7412920047117
"128","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,8,0.0025,100,"R_squared",-19.7488786464878
"129","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,9,0.0025,100,"R_squared",-19.7613840256554
"130","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,10,0.0025,100,"R_squared",-19.7360320429395
"131","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,1,0.0025,100,"R_squared",-22.6103410558522
"132","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,2,0.0025,100,"R_squared",-22.6456370596989
"133","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,3,0.0025,100,"R_squared",-22.6356812598738
"134","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,4,0.0025,100,"R_squared",-22.6257194872869
"135","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,5,0.0025,100,"R_squared",-22.6161837999264
"136","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,6,0.0025,100,"R_squared",-22.6373492884697
"137","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,7,0.0025,100,"R_squared",-22.6051771220881
"138","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,8,0.0025,100,"R_squared",-22.6302946630024
"139","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,9,0.0025,100,"R_squared",-22.6002154435926
"140","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,10,0.0025,100,"R_squared",-22.6180071365021
"141","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,1,0.0025,100,"R_squared",-29.7014106315317
"142","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,2,0.0025,100,"R_squared",-29.6920802298496
"143","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,3,0.0025,100,"R_squared",-29.7268618955887
"144","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,4,0.0025,100,"R_squared",-29.7033361397576
"145","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,5,0.0025,100,"R_squared",-29.6965519187267
"146","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,6,0.0025,100,"R_squared",-29.7385003959603
"147","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,7,0.0025,100,"R_squared",-29.6726428010938
"148","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,8,0.0025,100,"R_squared",-29.7203405171835
"149","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,9,0.0025,100,"R_squared",-29.6804925007662
"150","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,10,0.0025,100,"R_squared",-29.715454815542
"151","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,1,0.0025,100,"MSE",12.6196089006627
"152","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,2,0.0025,100,"MSE",12.6261375832068
"153","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,3,0.0025,100,"MSE",12.6125613552022
"154","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,4,0.0025,100,"MSE",12.615865492926
"155","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"MSE",12.622108878988
"156","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"MSE",12.6058296188236
"157","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"MSE",12.610425700512
"158","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"MSE",12.6313034698774
"159","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,9,0.0025,100,"MSE",12.6072858960544
"160","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,10,0.0025,100,"MSE",12.6249476131953
"161","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,1,0.0025,100,"MSE",12.5441333744573
"162","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,2,0.0025,100,"MSE",12.5609297493589
"163","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,3,0.0025,100,"MSE",12.5341603015202
"164","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,4,0.0025,100,"MSE",12.5615204900447
"165","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,5,0.0025,100,"MSE",12.5482340649578
"166","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,6,0.0025,100,"MSE",12.5470377543176
"167","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,7,0.0025,100,"MSE",12.5522317045344
"168","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,8,0.0025,100,"MSE",12.551482801997
"169","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,9,0.0025,100,"MSE",12.554504633667
"170","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",2,10,0.0025,100,"MSE",12.5563672384721
"171","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,1,0.0025,100,"MSE",12.9055778505156
"172","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,2,0.0025,100,"MSE",12.9098011294882
"173","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,3,0.0025,100,"MSE",12.8994571025313
"174","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,4,0.0025,100,"MSE",12.9130163224585
"175","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,5,0.0025,100,"MSE",12.9094716403115
"176","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,6,0.0025,100,"MSE",12.9058865696606
"177","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,7,0.0025,100,"MSE",12.912866320453
"178","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,8,0.0025,100,"MSE",12.9175895214501
"179","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,9,0.0025,100,"MSE",12.9253749713363
"180","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",3,10,0.0025,100,"MSE",12.9095916361567
"181","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,1,0.0025,100,"MSE",14.0173903832908
"182","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,2,0.0025,100,"MSE",14.038345517472
"183","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,3,0.0025,100,"MSE",14.0324347882539
"184","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,4,0.0025,100,"MSE",14.0265205130247
"185","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,5,0.0025,100,"MSE",14.0208592033474
"186","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,6,0.0025,100,"MSE",14.0334250919494
"187","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,7,0.0025,100,"MSE",14.0143245709286
"188","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,8,0.0025,100,"MSE",14.0292367814566
"189","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,9,0.0025,100,"MSE",14.0113788369274
"190","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",4,10,0.0025,100,"MSE",14.0219417129359
"191","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,1,0.0025,100,"MSE",13.7905316507438
"192","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,2,0.0025,100,"MSE",13.7863405990278
"193","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,3,0.0025,100,"MSE",13.8019639092398
"194","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,4,0.0025,100,"MSE",13.7913965550458
"195","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,5,0.0025,100,"MSE",13.7883492027279
"196","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,6,0.0025,100,"MSE",13.8071917181397
"197","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,7,0.0025,100,"MSE",13.7776096491805
"198","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,8,0.0025,100,"MSE",13.799034621189
"199","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,9,0.0025,100,"MSE",13.7811355956942
"200","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",5,10,0.0025,100,"MSE",13.7968400502642
