"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"149","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,9,0.0025,100,"R_squared",-0.0952433614782087
"150","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,10,0.0025,100,"R_squared",-0.0960598713328087
"151","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,1,0.0025,100,"MSE",18.7406748822856
"152","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,2,0.0025,100,"MSE",18.7190122478883
"153","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,3,0.0025,100,"MSE",18.7312385744816
"154","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,4,0.0025,100,"MSE",18.7596257375228
"155","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,5,0.0025,100,"MSE",18.7277753148273
"156","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,6,0.0025,100,"MSE",18.7545250196635
"157","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,7,0.0025,100,"MSE",18.8349575945929
"158","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,8,0.0025,100,"MSE",18.7255659386063
"159","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,9,0.0025,100,"MSE",18.7374315637334
"160","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",1,10,0.0025,100,"MSE",18.7398415029919
"161","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,1,0.0025,100,"MSE",19.3952539694199
"162","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,2,0.0025,100,"MSE",19.445803207745
"163","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,3,0.0025,100,"MSE",19.3784455938797
"164","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,4,0.0025,100,"MSE",19.4123554540393
"165","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,5,0.0025,100,"MSE",19.3770180954875
"166","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,6,0.0025,100,"MSE",19.4385881674544
"167","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,7,0.0025,100,"MSE",19.4112820573986
"168","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,8,0.0025,100,"MSE",19.4132461881437
"169","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,9,0.0025,100,"MSE",19.4318087068255
"170","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",2,10,0.0025,100,"MSE",19.3928439609019
"171","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,1,0.0025,100,"MSE",14.90521322108
"172","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,2,0.0025,100,"MSE",14.8725482737855
"173","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,3,0.0025,100,"MSE",14.9008755235191
"174","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,4,0.0025,100,"MSE",14.8794526327644
"175","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,5,0.0025,100,"MSE",14.8907917228294
"176","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,6,0.0025,100,"MSE",14.9105272530669
"177","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,7,0.0025,100,"MSE",14.9066956184167
"178","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,8,0.0025,100,"MSE",14.8859123049203
"179","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,9,0.0025,100,"MSE",14.8708632333727
"180","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",3,10,0.0025,100,"MSE",14.8751325784976
"181","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,1,0.0025,100,"MSE",13.0722895701817
"182","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,2,0.0025,100,"MSE",13.0877981392498
"183","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,3,0.0025,100,"MSE",13.1011511925808
"184","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,4,0.0025,100,"MSE",13.0820047195405
"185","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,5,0.0025,100,"MSE",13.1091440927919
"186","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,6,0.0025,100,"MSE",13.0380662990443
"187","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,7,0.0025,100,"MSE",13.05182543142
"188","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,8,0.0025,100,"MSE",13.1416712887194
"189","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,9,0.0025,100,"MSE",13.1730302634424
"190","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",4,10,0.0025,100,"MSE",13.0765850120603
"191","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,1,0.0025,100,"MSE",16.7660170897358
"192","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,2,0.0025,100,"MSE",16.7623218960392
"193","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,3,0.0025,100,"MSE",16.7917674000026
"194","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,4,0.0025,100,"MSE",16.8817284386791
"195","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,5,0.0025,100,"MSE",16.8212413896812
"196","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,6,0.0025,100,"MSE",16.7957471413293
"197","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,7,0.0025,100,"MSE",16.7634485698798
"198","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,8,0.0025,100,"MSE",16.8347128692519
"199","GBM_Model_1_eta_0.0025_ntrees_100","TGW_1",5,9,0.0025,100,"MSE",16.8014981713685
