model_number,subset,iteration,eta,nround,correlation
18,1,2,0.2,2060,0.999983059556414
18,1,3,0.2,2060,0.999979443057221
18,1,4,0.2,2060,0.999965167402513
18,1,5,0.2,2060,0.999968212875518
18,1,6,0.2,2060,0.999976778268342
18,1,7,0.2,2060,0.999974303821526
18,1,8,0.2,2060,0.999975445873903
18,1,9,0.2,2060,0.999975826558028
18,1,10,0.2,2060,0.999976587926279
18,2,1,0.2,2060,0.999966880481078
18,2,2,0.2,2060,0.999974113479463
18,2,3,0.2,2060,0.999969925954083
18,2,4,0.2,2060,0.999970877664396
18,2,5,0.2,2060,0.999976587926279
18,2,6,0.2,2060,0.99996630945489
18,2,7,0.2,2060,0.99997868168897
18,2,8,0.2,2060,0.999962692955697
18,2,9,0.2,2060,0.999968593559643
18,2,10,0.2,2060,0.999964596376325
18,3,1,0.2,2060,0.99997525553184
18,3,2,0.2,2060,0.999976016900091
18,3,3,0.2,2060,0.999983440240539
18,3,4,0.2,2060,0.999975636215965
18,3,5,0.2,2060,0.999969545269957
18,3,6,0.2,2060,0.999972400400899
18,3,7,0.2,2060,0.999972781085024
18,3,8,0.2,2060,0.999976397584217
18,3,9,0.2,2060,0.999973732795338
18,3,10,0.2,2060,0.999976207242154
18,4,1,0.2,2060,0.999970116296145
18,4,2,0.2,2060,0.999969164585831
18,4,3,0.2,2060,0.999970877664396
18,4,4,0.2,2060,0.999973732795338
18,4,5,0.2,2060,0.999971258348522
18,4,6,0.2,2060,0.999961170219195
18,4,7,0.2,2060,0.99997868168897
18,4,8,0.2,2060,0.99996973561202
18,4,9,0.2,2060,0.999976587926279
18,4,10,0.2,2060,0.999974684505652
18,5,1,0.2,2060,0.999975445873903
18,5,2,0.2,2060,0.999977539636593
18,5,3,0.2,2060,0.999978110662781
18,5,4,0.2,2060,0.999968022533455
18,5,5,0.2,2060,0.999980965793723
18,5,6,0.2,2060,0.999977920320719
18,5,7,0.2,2060,0.999978491346907
18,5,8,0.2,2060,0.999976016900091
18,5,9,0.2,2060,0.999979062373095
18,5,10,0.2,2060,0.999979443057221
19,1,1,0.0025,3040,0.795537601646231
19,1,2,0.0025,3040,0.799557626011918
19,1,3,0.0025,3040,0.799114129005665
19,1,4,0.0025,3040,0.801909682881558
19,1,5,0.0025,3040,0.804603213411806
19,1,6,0.0025,3040,0.798081903999268
19,1,7,0.0025,3040,0.800648666715711
19,1,8,0.0025,3040,0.797856729339012
19,1,9,0.0025,3040,0.801963549685322
19,1,10,0.0025,3040,0.800193939527756
19,2,1,0.0025,3040,0.807651731889119
